auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,
auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon?,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Start/End date?,Title/Link,Sanderson? ,World
LG56,17,6,525,,E,Standard,FALSE,FALSE,,,,4,23.5%,0,0,13,4,4,2,0,0,0,6,1,,3,,,,Discord in Elendel,TRUE,Scadrial
QF38,20,,382,,V,,FALSE,FALSE,,,,14,70.0%,1,4,8,12,0,0,1,4,2,1,0,,5,,,,ZOMBIES,FALSE,
LG57,13,,229,,E,,FALSE,FALSE,,,,4,30.8%,0,1,8,5,3,0,1,1,0,3,0,,4,,,,The Tower of Nebrask,TRUE,Rithmatist
MR36,17,,329,,E,,FALSE,FALSE,,,,4,23.5%,0,0,4,13,0,0,0,0,0,4,0,,5,,,,The Northern Wind,TRUE,First of the Sun
LG58,19,,504,,V,,FALSE,FALSE,,,,3,15.8%,3,0,10,9,3,0,0,0,0,7,0,,6,,,,A Hidden Threat,TRUE,Scadrial
QF39,22,,744,,Misc,Complex,FALSE,FALSE,,,,7,31.8%,4,1,21,1,1,9,0,1,0,10,0,,2,,,,Corruption in the Senate 2: Allomantic Boogaloo,TRUE,Scadrial
LG59,13,,286,,V,Semi Standard,FALSE,FALSE,,,,1,7.7%,0,0,4,9,1,0,0,0,0,3,0,,0,,,,Shadows and Spikes,TRUE,Scadrial
MR37,15,,188,,E,,FALSE,TRUE,,,,3,20.0%,0,0,11,4,5,1,0,0,0,5,0,,2,,,,An Empire is Falling,TRUE,Sel
LG60,14,,321,,E,,FALSE,FALSE,,,,4,28.6%,0,0,9,4,4,0,0,0,0,5,0,,2,,,,Shadow Over the Forests of Hell,TRUE,Threnody
QF40.1,14,,,,E,,FALSE,FALSE,,,Well Balanced,3,21.4%,0,0,2,12,2,0,0,0,0,0,0,,1,,,,Uneasy Lies,TRUE,Sel
QF40.2,15,,,,E,,FALSE,FALSE,,,Well Balanced,4,26.7%,1,0,8,7,4,0,0,0,0,3,1,,0,,,,,TRUE,Sel
MR38.1,18,,,U,E,Basic,FALSE,FALSE,,,Broken Mechanics,5,27.8%,3,0,3,15,0,0,0,0,0,3,0,,6,,,,The Council of Elrond,FALSE,Lord of the Rings
LG61,15,,374,,V,,FALSE,FALSE,,,,3,20.0%,2,0,13,2,5,0,0,0,0,6,2,,0,,,,A Radiant Light,TRUE,Roshar
MR38.2,15,,,U,V,Basic,FALSE,FALSE,,,Broken Mechanics,4,26.7%,1,0,5,10,0,0,0,0,0,5,0,,9,,,,,FALSE,Lord of the Rings
QF41,14,,197,,E,,FALSE,FALSE,,,,4,28.6%,1,0,8,6,4,0,0,0,0,4,0,,8,,,,The Lord Mistborn's School for Gifted Allomancers,TRUE,Scadrial
LG62,16,,138,,F,,FALSE,FALSE,,,Well Balanced,0,0.0%,0,0,9,0,0,0,0,0,9,0,0,,3,,,,Remaster of the House,TRUE,Scadrial
MR39,15,,338,,V,,FALSE,FALSE,,,,3,20.0%,2,0,13,2,5,0,0,0,0,7,1,,0,,,,For Science,TRUE,Reckoners
AG6,24,,442,V/E,E,Standard,FALSE,TRUE,,,Balanced,6,25.0%,2,3,22,2,7,0,0,3,6,6,0,,1,,,,We Shall All Be Changed,TRUE,Roshar
QF42,12,,240,,V,,FALSE,FALSE,,,,3,25.0%,2,0,6,6,2,0,0,0,0,4,0,,0,,,,Alcatraz vs. the Watakotse Infiltration,TRUE,Alcatraz
MR40,14,,229,,V,,FALSE,FALSE,,,,3,21.4%,3,0,12,2,6,0,0,0,0,6,0,,2,,,,A Defiant Rebellion,,
LG63,15,,302,,E,,FALSE,FALSE,,,,4,26.7%,3,0,14,1,6,0,0,0,0,8,0,,0,,,,The Set,,
QF43,16,,216,,E,,FALSE,FALSE,,,,3,18.8%,1,0,13,1,6,0,0,0,0,7,0,,0,,,,Mysteries in the Snow,TRUE,Sel
LG64,16,,421,EE,V,Semi Standard,FALSE,FALSE,,,Balanced,2,12.5%,1,0,14,2,0,5,0,1,0,6,2,,0,,,,Choose your own Sanderson Adventure!,TRUE,Alcatraz
MR41,13,,235,,,,FALSE,TRUE,,,,1,7.7%,0,0,3,0,2,0,0,1,0,0,0,,0,,,,Lord of Chaos,TRUE,Wheel of Time
LG65,27,,951,V/E,V,Complex,FALSE,FALSE,,,Very Broken Mechanics,7,25.9%,0,4,11,0,0,0,4,4,2,1,0,,2,,,,Dancing Through Life,FALSE,Kingkiller Chronicles
QF44,22,,367,,E,,FALSE,FALSE,,,,5,22.7%,1,0,17,5,7,0,0,0,1,7,2,,0,,,,Shadows in the Forest,TRUE,Threnody
MR42,32,,1481,,E,,FALSE,FALSE,,,,9,28.1%,5,1,28,4,11,3,0,1,1,10,2,,4,,,,The Auction of Lord Winsting,TRUE,Scadrial
LG66,24,,1458,,V,Complex,FALSE,FALSE,,,,6,25.0%,2,1,17,5,4,2,0,2,1,7,1,,0,,,,A Struggle for Power,TRUE,Scadrial
QF45,22,7,589,V/E,E,Basic,FALSE,FALSE,,,Balanced,4,18.2%,1,0,17,5,7,0,0,0,0,7,3,,0,,,,To Set an Example,TRUE,Scadrial
LG67,25,7,907,V/E,E,Standard,FALSE,FALSE,,,N,7,28.0%,1,0,14,11,6,0,0,0,0,7,1,,0,,,,The Road to Urithiru,TRUE,Roshar
MR43,18,5,421,V/E,E,Semi Standard,FALSE,FALSE,,,,4,22.2%,0,1,13,5,6,0,0,1,0,4,2,,2,,,,Death Comes As The End,TRUE,Scadrial
QF46,21,7,370,,Misc,,FALSE,FALSE,,,,10,47.6%,9,0,20,1,6,0,0,0,0,14,0,,0,,,,Mysteries within Secrets,TRUE,Sel
LG68,20,5,819,V/E,V,Semi Standard,FALSE,FALSE,,,Broken Distribution,3,15.0%,3,0,10,10,4,0,0,0,0,5,1,,0,,,,Studies of Ashyn,TRUE,
MR44,13,5,188,V/E,E,,FALSE,FALSE,,,,3,23.1%,1,0,10,3,5,0,0,0,1,4,0,,0,,,,Obligations,TRUE,Scadrial
LG69,15,7,594,V/E,E,Semi Standard,FALSE,FALSE,,,,4,26.7%,3,0,14,1,7,0,0,0,0,7,0,,0,,,,The Politics of the Passions,TRUE,Roshar
QF47,17,9,228,FFA,FFA,Standard,FALSE,FALSE,,,,0,0.0%,0,0,16,1,0,0,16,0,0,0,0,,0,,,,Multi-Man Melee,TRUE,Rithmatist
LG70,15,6,499,,E,,FALSE,FALSE,,,,4,26.7%,1,0,9,6,3,0,0,0,0,6,0,,0,,,,Reforging Arelon,TRUE,Sel
MR45,16,6,428,V/E,E,,FALSE,FALSE,,,,4,25.0%,2,0,10,6,4,0,0,0,1,5,0,,0,,,,A Trapper's Tale,TRUE,First of the Sun
LG71,25,8,1256,V/E,E,Semi Standard,FALSE,FALSE,,,,6,24.0%,1,0,15,10,5,0,0,0,1,7,2,,0,,,,A Cosmere Odyssey,TRUE,First of the Sun
QF48,18,4,442,V/E,E,,FALSE,FALSE,,,,5,27.8%,0,0,8,10,4,0,0,0,0,4,0,,0,,,,Welcome to the Family,TRUE,Roshar
MR46,23,,1278,,E,,FALSE,FALSE,,,,5,21.7%,1,0,16,7,7,0,0,0,0,8,1,,0,,,,A Broken Imperium,TRUE,Scadrial
LG72,26,,1329,,E,,FALSE,FALSE,,,,6,23.1%,2,0,21,4,7,0,2,0,0,8,4,,0,,,,The Secret of Shinovar,TRUE,Roshar
QF49,16,,297,,E,,FALSE,FALSE,,,,3,18.8%,0,0,11,5,5,0,0,0,0,5,1,,0,,,,Chaos in Newcago,TRUE,Reckoners
MR47,18,,499,,E,,FALSE,FALSE,,,,5,27.8%,3,0,15,2,6,0,0,0,1,8,0,,0,,,,Conflict of Superiority,,
AG7,29,7,1222,V/E,V,Complex,FALSE,TRUE,,,,6,20.7%,5,1,13,14,4,0,0,1,0,7,1,,2,,,,"From Embers, A Flame",TRUE,Cross-Cosmere
QF50,20,9,1909,V/E,V,,FALSE,FALSE,,,,4,20.0%,2,1,18,1,9,0,0,1,1,7,0,,0,,,,Return to Tar Valon,TRUE,Wheel of Time
LG73,23,9,1583,V/E,V,,FALSE,FALSE,,,,5,21.7%,5,0,16,6,5,0,0,0,2,9,0,,0,,,,The Forgotten Coup,TRUE,Rithmatist
MR48,18,5,515,V/E,E,,FALSE,FALSE,,,,5,27.8%,1,0,11,6,5,0,0,0,0,4,2,,0,,,,The Southern Wind,TRUE,First of the Sun
LG74,30,6,1717,V/E,E,Standard,FALSE,FALSE,,,,6,20.0%,0,0,15,13,5,0,0,0,4,6,0,,0,,,,You Want It Darker,TRUE,Scadrial
QF51,12,4,355,V/E,E,,FALSE,FALSE,,,,3,25.0%,0,0,8,4,3,0,0,0,1,4,0,,0,,,,I Love Dragons,TRUE,Other Sanderson
MR49,20,8,976,EE,E,,FALSE,FALSE,,,,11,55.0%,5,0,16,2,8,0,0,0,0,8,0,,0,,,,Lode of Luthadel,TRUE,Scadrial
LG75,17,8,799,V/E,V,,FALSE,FALSE,,,,5,29.4%,4,0,13,3,5,0,0,0,0,8,0,,0,,,,Alethi Politics,TRUE,Roshar
QF52,15,4,333,V/E,E,,FALSE,FALSE,,,,4,26.7%,0,0,9,5,4,0,0,0,0,5,0,,0,,,,Dancing in the Mists,TRUE,Scadrial
LG76,15,7,892,V/E,V,,FALSE,FALSE,,,,4,26.7%,3,1,11,4,4,0,1,1,0,5,0,,0,,,,At the Forests of Madness,TRUE,Threnody
MR50,16,7,596,V/E,E,,FALSE,FALSE,,,,3,18.8%,0,0,13,3,6,0,0,0,0,7,0,,0,,,,The Northern Wind II,,
LG77,20,5,726,V/E,E,Complex,FALSE,FALSE,,,,3,15.0%,0,0,14,5,6,3,0,1,0,4,0,,0,,,,A Political Trap,TRUE,Scadrial
LG78,28,9,1189,V/E,E,,FALSE,FALSE,,,,7,25.0%,1,3,20,5,7,0,0,3,2,8,0,,0,,,,The Legend of Zelda: The False Heroes,FALSE,Zelda
QF53,12,8,196,CON,E,,FALSE,FALSE,,,,2,16.7%,2,0,10,1,2,0,0,0,0,8,0,,0,,,,Forging a Nation,TRUE,Sel
MR51,19,7,608,U,V,,FALSE,FALSE,,,,7,36.8%,0,0,0,12,0,0,0,0,0,0,0,,0,,,,Come On Down To Irontown,TRUE,Scadrial
QF54,12,4,192,V/E,E,,FALSE,FALSE,,,,3,25.0%,0,0,8,4,4,0,0,0,0,4,0,,0,,,,The Smoking Mirror,TRUE,Nalthis
LG79,20,9,819,V/E,V,,FALSE,TRUE,,,,4,20.0%,4,0,15,4,6,0,0,0,0,7,2,,0,,,,The Rhythm of Freedom,TRUE,Roshar
LG80,17,6,594,V/E,V,,FALSE,FALSE,,,,4,23.5%,3,0,10,6,4,0,0,0,0,6,0,,0,,,,Skaa Tenements,TRUE,Scadrial
MR52,12,5,343,V/E,V,,FALSE,FALSE,,,,3,25.0%,2,1,9,2,3,0,0,1,0,5,0,,0,,,,Guard Duty,TRUE,Roshar
QF55,8,3,76,V/E,E,,FALSE,FALSE,,,,2,25.0%,0,0,5,3,2,0,0,0,0,3,0,,0,,,,Battle of Traitors,TRUE,
MR53,16,6,508,CON,E,,FALSE,FALSE,,,,5,31.3%,2,1,12,2,5,0,0,1,1,5,0,,0,,,,"Unmade, Remade",TRUE,Roshar
QF56,15,4,213,U,F,,FALSE,FALSE,,,,0,0.0%,0,0,13,0,0,0,8,0,0,4,1,,0,,,,Your Turn to Be Eliminated,,
LG81,11,5,373,V/E,E,,FALSE,FALSE,,,,2,18.2%,0,0,6,5,3,0,0,0,0,3,0,,0,,,,Lasting Integrity?,TRUE,Roshar
MR54,13,4,264,V/E,E,,FALSE,FALSE,,,,3,23.1%,0,0,8,5,4,0,0,0,0,4,0,,0,,,,Fading Glory,TRUE,Sel
LG82,9,4,323,V/E,E,,FALSE,FALSE,,,,3,33.3%,1,0,6,3,3,0,0,0,1,2,0,,0,,,,Secrets Written in Metal,TRUE,Scadrial
QF57,8,3,123,V/E,E,,FALSE,FALSE,,,,2,25.0%,0,0,5,3,2,0,0,0,0,3,0,,0,,,,The Infiltrators of Elantris,TRUE,Sel
MR55,12,5,268,FAC,E,Complex,FALSE,FALSE,,,,3,25.0%,0,0,8,4,3,0,0,0,1,4,0,,0,,,,Sudden but Inevitable Betrayal,FALSE,Firefly
AG8,29,8,,V/E,V,Standard,FALSE,TRUE,,,,5,17.2%,5,0,15,11,6,0,0,0,0,8,1,,0,,,,Back to Beginnings,TRUE,Scadrial
QF58,12,,,,,,FALSE,FALSE,,,,3,25.0%,2,0,6,5,1,0,1,0,0,4,0,,0,,,,Rebellion,TRUE,Roshar
MR56,21,8,,V/E,F,,FALSE,FALSE,,,,4,19.0%,2,0,19,2,5,4,0,0,1,8,1,,0,,,,Day of Reckoning,TRUE,Reckoners
LG83,28,6,,V/E,E,,FALSE,FALSE,,,,6,21.4%,2,0,17,7,10,0,1,0,0,6,0,,0,,,,The Survivor,FALSE,
BT1,12,4,,V/E,E,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,Auction of Stories,TRUE,Cross-Cosmere
QF59,15,7,,V/E,E,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,Bachelor - Roshar Edition!,TRUE,Roshar
MR57,,,,V/E,,Semi Standard,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,FALSE,
