auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,
auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon?,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Start/End date?,Title/Link,Sanderson? ,World
MR2,18,5,355,V/E,V,Standard,FALSE,FALSE,,,Broken Mechanics,4,22.2%,4,0,4,14,0,0,0,0,0,4,0,,2,,,,Servants of Honor,TRUE,Roshar
LG8,20,10,451,V/E,E,Complex,FALSE,FALSE,,,Broken Mech. and Dist,3,15.0%,0,0,15,5,9,0,0,0,1,5,0,,5,,,,Elendel Gang War,TRUE,Scadrial
QF3,14,5,201,V/E,V,Standard,FALSE,FALSE,,,Well Balanced,3,21.4%,2,1,10,4,4,0,0,1,0,5,0,,4,,,,Shadowed Secrets,TRUE,Threnody
MR3,15,6,226,V/E,E,Standard,FALSE,FALSE,,,Balanced,4,26.7%,1,0,10,5,6,0,0,0,0,4,0,,4,,,,When Chalklings Attack,TRUE,Rithmatist
LG9,15,6,343,V/E,E,Semi Standard,FALSE,FALSE,,,Well Balanced,3,20.0%,1,1,12,3,3,1,0,1,1,6,0,,5,,,,The Empty Throne,TRUE,Reckoners
QF4,14,5,210,CON,E,Standard,FALSE,FALSE,,,Balanced,4,28.6%,1,0,8,6,4,0,0,0,0,4,0,,4,,,,Conversions,TRUE,Cross-Cosmere
MR4,20,7,711,V/E,V,Semi Standard,FALSE,FALSE,,,Balanced,6,30.0%,2,3,12,8,3,0,0,3,1,4,1,,2,,,,Alethi War of Unification,TRUE,Roshar
QF5,21,6,221,FFA,FFA,Faction/FFA,FALSE,FALSE,,,Well Balanced,0,0.0%,0,0,20,1,0,0,20,0,0,0,0,,6,,,,Hunger Games,FALSE,Hunger Games
AG1,28,9,825,V/E,E,Standard,FALSE,FALSE,,,Well Balanced,5,17.9%,1,0,18,10,9,0,0,0,3,6,0,,6,,,,In the Re-Wake of the Koloss,TRUE,Scadrial
LG10,29,10,1049,V/E,V,Semi Standard,FALSE,FALSE,,,Broken Mechanics,6,20.7%,3,3,17,12,7,0,0,3,0,7,0,,8,,,,A Game of Shards,TRUE,Cross-Cosmere
QF6,20,7,239,V/E,V,Standard,FALSE,FALSE,,,Broken Mechanics,4,20.0%,4,0,9,11,3,0,0,0,0,6,0,,17,,,,A Time of Nightmares,TRUE,Legion
MR5,29,12,530,FAC,F,Faction/FFA,FALSE,FALSE,,,Well Balanced,0,0.0%,0,0,28,1,0,0,17,0,0,7,4,,9,,,,Competing Realities,TRUE,
LG11,32,8,651,V/E,V,Complex,FALSE,FALSE,,,Broken Mechanics,5,15.6%,5,0,18,14,8,0,0,0,4,6,0,,8,,,,Twinborn Village,TRUE,Scadrial
QF7,17,5,339,V/E,E,Standard,FALSE,FALSE,,,Balanced,4,23.5%,1,1,15,2,6,0,0,1,3,5,0,,22,,,,Living (and Dying) Rough,TRUE,Scadrial
MR6,27,6,395,V/E,E,Semi Standard,FALSE,FALSE,,,Broken Mech. and Dist,6,22.2%,0,1,20,7,14,0,0,1,1,2,2,,19,,,,A Venture in Atium,TRUE,Scadrial
