,,auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,,,
format,num,auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Title/Link,Sanderson? ,World,start_date,end_date,link
MR,8,MR8,29,13,976,V/E,E,Standard,FALSE,,,,Well Balanced,5,17.2%,1,1,24,5,11,0,0,1,3,8,1,,11,,,Highborn Intrigue,TRUE,Roshar,,,
LG,14,LG14,28,15,1250,V/E,V,Semi Standard,FALSE,,,,Broken Mech. and Dist,6,21.4%,5,1,25,3,6,0,0,1,5,12,1,,18,,,To Shatter a Shard,TRUE,Cross-Cosmere,,,
QF,10,QF10,21,11,645,V/E,E,Standard,FALSE,,,,Balanced,4,19.0%,2,0,17,4,9,0,0,0,0,8,0,,21,,,Scadrial Atium Rush,TRUE,Scadrial,,,
MR,9,MR9,27,11,821,V/E,V,Standard,FALSE,,,,Well Balanced,7,25.9%,4,2,22,5,7,0,0,2,2,10,1,,15,,,The Steel Ministry,TRUE,Scadrial,,,
LG,15.1,LG15.1,26,1,209,V/E,E,Standard,FALSE,,,,Broken Mechanics,6,23.1%,0,0,0,26,0,0,0,0,0,0,0,,16,,,The Shards Themselves...,TRUE,Cross-Cosmere,,,
LG,15.2,LG15.2,32,10,1484,V/E,V,Standard,FALSE,,,,Broken Distribution,7,21.9%,3,3,24,8,6,0,0,3,5,10,0,,9,,,,TRUE,Cross-Cosmere,,,
QF,11,QF11,17,7,285,V/E,E,Basic,FALSE,,,,Well Balanced,3,17.6%,0,0,12,5,5,0,0,0,0,2,5,,20,,,Cultists in a Snowstorm,TRUE,Sel,,,
MR,10,MR10,36,11,937,V/E,E,Semi Standard,FALSE,,,,Balanced,8,22.2%,0,1,27,9,14,0,0,1,5,7,0,,8,,,Divided Loyalties,TRUE,Roshar,,,
AG,2,AG2,28,11,869,V/E,E,Standard,FALSE,,,,Well Balanced,5,17.9%,1,0,18,10,11,0,0,0,0,6,1,,18,,,Return of the Koloss,TRUE,Scadrial,,,
QF,12,QF12,19,6,366,V/E,E,Standard,FALSE,,,,Balanced,4,21.1%,1,0,13,6,4,1,2,1,1,4,0,,22,,,The Time of Reckoning,TRUE,Reckoners,,,
LG,16,LG16,19,8,529,V/E,V,Standard,FALSE,,,,Well Balanced,4,21.1%,3,0,17,2,5,1,0,0,3,7,1,,18,,,Empty Throne Pt 2: The Catacombs,TRUE,Reckoners,,,
MR,11,MR11,18,6,493,V/E,E,Semi Standard,FALSE,,,,Well Balanced,4,22.2%,0,0,12,6,4,0,2,0,0,6,0,,19,,,Paradise Lost,TRUE,First of the Sun,,,
LG,17,LG17,21,9,581,V/E,V,Semi Standard,FALSE,,,,Balanced,4,19.0%,3,1,17,4,7,0,0,1,0,5,4,,13,,,Heronfall,TRUE,Scadrial,,,
QF,13,QF13,17,5,311,V/E,V,Standard,FALSE,,,,Broken Mechanics,4,23.5%,2,2,11,6,4,0,0,2,0,4,1,,18,,,Winter is Coming,FALSE,Game of Thrones,,,
LG,18,LG18,24,7,1161,V/E,V,Complex,FALSE,,,,Broken Mech. and Dist,4,16.7%,0,4,13,8,0,0,7,4,2,0,0,,17,,,Holly and Iron,FALSE,KKC,,,
MR,12,MR12,26,6,793,FAC,F,Semi Standard,FALSE,,,,Well Balanced,6,23.1%,2,2,14,12,2,0,4,2,0,4,2,,14,,,Turf War,TRUE,Reckoners,,,
LG,19,LG19,17,8,624,V/E,E,Complex,FALSE,,,,Broken Mechanics,8,47.1%,4,3,14,3,6,0,0,4,0,4,0,,21,,,Twinborn City,TRUE,Scadrial,,,
QF,14,QF14,23,12,687,,D,Semi Standard,FALSE,,,,Balanced,5,21.7%,0,3,23,0,2,1,13,3,4,0,0,,15,,,Corruption in the Senate,TRUE,Scadrial,,,
MR,13,MR13,19,5,278,V/E,E,Standard,FALSE,,,,Very Broken Mechanics,4,21.1%,0,0,12,7,7,0,0,0,1,3,1,,16,,,Treachery in the Terris Peaks,TRUE,Scadrial,,,
LG,20,LG20,28,12,1130,V/E,V,Semi Standard,FALSE,,,,Broken Distribution,5,17.9%,2,2,22,5,6,0,2,2,5,7,0,,10,,,Warcamp Enigmas,TRUE,Roshar,,,
QF,15,QF15,22,7,652,V/E,E,Semi Standard,FALSE,,,,Broken Mechanics,7,31.8%,1,0,16,6,7,0,3,0,0,6,0,,16,,,Death Note,FALSE,Death Note,,,
LG,21,LG21,27,6,1044,V/E,E,Complex,FALSE,,,,Broken Mechanics,5,18.5%,0,0,13,13,3,3,4,0,1,2,0,,13,,,To Reforge a God,TRUE,Cross-Cosmere,,,
MR,14,MR14,18,5,554,V/E,V,Semi Standard,FALSE,,,,Broken Mechanics,4,22.2%,2,2,11,7,3,0,0,2,1,4,1,,16,,,The Canim Fury,FALSE,Codex Alera,,,
LG,22,LG22,28,11,1768,EE,V,Semi Standard,FALSE,,,,Balanced,10,35.7%,7,1,24,3,7,0,1,1,2,11,2,,10,,,Corenne al'Daishar,TRUE,Wheel of Time,,,
QF,16,QF16,17,9,355,V/E,V,Basic,FALSE,,,,Broken Mechanics,4,23.5%,2,2,15,2,5,0,0,2,1,7,0,,22,,,Shades of Threnody,TRUE,Threnody,,,
LG,23,LG23,27,9,972,FAC,E,Semi Standard,FALSE,,,,Broken Distribution,5,18.5%,1,1,22,5,5,0,7,1,0,9,0,,10,,,The Siege of Luthadel,TRUE,Scadrial,,,
MR,15,MR15,19,6,727,V/E,V,Semi Standard,FALSE,,,,Broken Mechanics,8,42.1%,4,0,10,8,2,1,0,0,1,6,0,,15,,,The Dula Revolution,TRUE,Sel,,,
LG,24,LG24,28,9,1559,EE,E,Complex,FALSE,,,,Broken Distribution,10,35.7%,4,0,24,4,7,2,3,0,1,9,2,,1,,,The Godless City,TRUE,Sel,,,
QF,17,QF17,25,10,430,FFA,FFA,Faction/FFA,FALSE,,,,Balanced,0,0.0%,0,0,25,0,0,0,18,0,0,7,0,,1,,,Gotta Kil 'Em All,FALSE,Pokemon,,,
LG,25,LG25,24,6,473,V/E,E,Standard,FALSE,,,,Balanced,7,29.2%,2,0,15,9,7,0,2,0,0,6,0,,1,,,A Breath of Power,TRUE,Nalthis,,,
