player_id,player_name
0,Meta
1,Cracknut
2,Edgedancer
3,Mailliw73
4,Aether
5,Claincy
6,Gamma
7,Kurkistan
8,bartbug
9,dyring
10,Quiver
11,little wilson
12,Oudeis/Darnam
13,loganmathewjohnson
14,Grayv
15,Peng
16,PorridgeBrick
17,Windy
18,Weiry
19,Alvron
20,Wes
21,Swimmingly
22,Serendipity/Scriptorian
23,Aonar
24,RainbowRose/Cessie
25,Herowannabe
26,RobotAztec
27,Shiv
28,Leonardus
29,Luckat
30,Aspren
31,A Joe in the Bush
32,Dalinar
33,elwarko
34,SirVarrock
35,18thShard
36,Macen
37,Gleeman
38,Lanscaper
39,Chid/Newan
40,GreyPilgrim
41,Wyrmhero
42,Nepene
43,Tulir
44,Sart
45,Adolin Dustbringer
46,nard1993
47,Sphinx
48,Tempus
49,Jain
50,Kasimir
51,Theorymaker
52,Rubix
53,Ashiok
54,Renegade
55,Feather
56,Binnut
57,Twei
58,dants
59,Sir Jerric
60,jaelre
61,Kal Dell
62,Lev
63,QuiteContrary
64,Araris Valerian
65,ScottLeft
66,killersquirrel
67,Navybrandt
68,Pupper
69,DUI/Smokestone
70,Winter
71,Steel
72,Jasnah/Trelagist
73,Rainspren
74,Mckeedee
75,Eolhondras
76,Seonid
77,tusoud
78,Salamander
79,Dominic
80,dowanx
81,IcyNinja
82,Lord Pifferdoo
83,Ostrich
84,Unodus
85,Sarcomere
86,Bort
87,Feligon
88,Clanky
89,Kipper
90,Splinter
91,Antillar
92,Leif
93,Vineyarddawg
94,Cheese United
95,Phattemer
96,ShardbearerFanatic
97,Nicroburst
98,Honey Badger
99,spencer12347
100,Wonko the Sane
101,neodymium
102,lord Mattias Mountford
103,Kandra Skrull
104,Haelbarde
105,Emerald101
106,TheSilverDragon
107,Orlok Tsubodai
108,Anamaximder
109,Kasheannin
110,Zas
111,Burnt Spaghetti
112,Shallan
113,Silverblade5
114,Bridge Boy/Elithanathile
115,LadyEowyn/Emilylime
116,Adamir
117,Aanwolf
118,Paranoid King
119,Zephrer
120,Pixie
121,eramit
122,idolevy
123,Vauhsoj
124,RavenRadient7
125,TheMightyLopen
126,RippleGylf
127,STINK
128,Amanuensis
129,nicocoberru
130,Danstar888
131,polkinghornhd
132,Creccio
133,Alfa
134,Meandbooks
135,Hellscythe
136,Arraenae
137,Kaid
138,Elbereth
139,Queensteph
140,Elkanah
141,Zed
142,Biggoron
143,The Cow
144,Kamyle
145,Tony Shark
146,Kynedath
147,Starry Smite
148,DeathClutch
149,Mace Windu
150,Mark IV
151,Mashadar Mistborn
152,Water
153,Luna
154,Master Elodin
155,Straw
156,Weaving Webs
157,Firemuffin
158,Danosaur
159,Draigar
160,Honor Spren
161,yafeshan
162,Bugsy
163,AliasSheep
164,Nyali
165,Cloudjumper
166,Conquestor
167,Young Bard
168,GunshyMink74
169,RubiksCube
170,jaimeleecee
171,Ecthelion
172,Elenion
173,Magestar
174,antgrgmn
175,Assassin in Burgundy
176,The Only Alex
177,daniyah
178,Frozen Mint
179,Dalinar Kholin
180,Doctor 12
181,_Stick_
182,iohn
183,Darkness Ascendant
184,livinglegend
185,Lady of Chaos
186,Jondesu
187,jefrywlfersn
188,Doxis
189,Pestis the Spider
190,JUQ
191,Kiwi
192,Nathanvanduij
193,Arinian
194,Manukos
195,Droughtbringer
196,Berenion
197,Drake Marshall
198,Hemalurgic Headshot
199,Madagascar
200,DeTess
201,Shqueeves
202,the lazy anarchist
203,Bartimaeus
204,Szeth-son-son-Mallano
205,Figberts
206,Yitzi2
207,Iamspartacus
208,Ornstein
209,OmeGaster
210,BrightnessRadiant
211,Roadwalker
212,Jedal
213,xxGaea
214,Steeldancer
215,Conatus
216,StrikerEZ
217,Asterion
218,Megasif
219,Sami
220,Eternum
221,Overlord Jebus
222,A Budgie
223,Majestic
224,King Cole
225,Rebecca
226,Lemonelon
227,Grumpy Dula
228,Julio
229,Sony
230,Mestiv
231,DarianHammersmith
232,Davus
233,Walin
234,ShaneysRus
235,Devotary of Spontaneity
236,shanerockes
237,nutellaspren
238,Aspen
239,MonsterMetroid
240,Fifth Scholar
241,Coop772
242,MacThorstenson
243,Guava
244,GreenRover
245,Caesura
246,Mafia
247,The Young Pyromancer
248,Mraize
249,Kidpen
250,Cadmium Compounder
251,Tineye Navigator
252,Elandera
253,xinoehp512
254,ElephantEarwax
255,I think I am here.
256,Snipexe
257,Mr. Doctor
258,Val
259,Rathmaskal
260,LopenTheTwoArmedHerdazian
261,Gancho Libre
262,Worldhopper from Yolen
263,Ark1002
264,MetaTerminal
265,Wiritos
266,Furamirionind
267,Nohadon
268,Karnatheon
269,Lumgol
270,Mr. Mafia
271,Watcher
272,FatherTiempo
273,ElendVenture
274,Levitaph
275,Dr. Dapper
276,Ventyl
277,Butt Ad Venture
278,WeebTrash
279,Cicada
280,Sallom
281,ILuvHats
282,Tugog the Rhymer
283,Lorien
284,Coda
285,Pejidot
286,Aragorn
287,GoWibble
288,Abstrusity
289,The_God_King
