,format,game_num,game_string,Broken,game_id,IM_id
174,LG,71.0,LG71,,174,12.0
175,QF,48.0,QF48,,175,139.0
176,MR,46.0,MR46,,176,236.0
177,LG,72.0,LG72,,177,139.0
178,QF,49.0,QF49,,178,236.0
179,MR,47.0,MR47,,179,236.0
180,AG,7.0,AG7,,180,241.0
181,QF,50.0,QF50,,181,65.0
182,LG,73.0,LG73,,182,253.0
183,MR,48.0,MR48,,183,65.0
184,LG,74.0,LG74,,184,12.0
185,QF,51.0,QF51,,185,236.0
186,MR,49.0,MR49,,186,253.0
187,LG,75.0,LG75,,187,236.0
188,QF,52.0,QF52,,188,65.0
189,LG,76.0,LG76,,189,236.0
190,MR,50.0,MR50,,190,139.0
191,LG,77.0,LG77,,191,139.0
192,LG,78.0,LG78,,192,253.0
193,QF,53.0,QF53,,193,65.0
194,MR,51.0,MR51,,194,236.0
195,QF,54.0,QF54,,195,12.0
196,LG,79.0,LG79,,196,65.0
197,LG,80.0,LG80,,197,253.0
198,MR,52.0,MR52,,198,236.0
199,QF,55.0,QF55,,199,65.0
200,MR,53.0,MR53,,200,236.0
201,QF,56.0,QF56,,201,253.0
202,LG,81.0,LG81,,202,236.0
203,MR,54.0,MR54,,203,253.0
204,LG,82.0,LG82,,204,253.0
205,QF,57.0,QF57,,205,236.0
206,MR,55.0,MR55,,206,65.0
207,AG,8.0,AG8,,207,12.0
208,QF,58.0,QF58,,208,236.0
